Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Green Bay Packers,23,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Arizona Cardinals,23,48,25,402,213,189,1,21,322,189,133,0,-8,-8,0,1
3,Seattle Seahawks,0,26,21.5,368.5,219.5,149,1.5,21,311,187,124,1,-33,-16.5,0,2
4,Oakland Raiders,22,20,16.66666667,294.3333333,162.3333333,132,1,19.66666667,331,195.3333333,135.6666667,0.666666667,-59,-19.66666667,0,3
5,Kansas City Chiefs,18,17,18.25,313.5,190,123.5,1.5,18.75,314.75,195.5,119.25,1,-57,-14.25,1,3
6,Detroit Lions,34,37,18.8,316.4,200.2,116.2,1.4,18.2,309.2,190.4,118.8,0.8,-56,-11.2,2,3
7,Bye Week,,,19.66666667,337.6666667,225.6666667,112,1.333333333,19.5,348.6666667,223.8333333,124.8333333,1.166666667,-59,-9.833333333,2,4
8,Minnesota Vikings,20,23,19.66666667,337.6666667,225.6666667,112,1.333333333,19.5,348.6666667,223.8333333,124.8333333,1.166666667,-59,-9.833333333,2,4
9,San Diego Chargers,22,19,19.42857143,333,223.1428571,109.8571429,1.142857143,19.14285714,345.5714286,217.5714286,128,1.142857143,-62,-8.857142857,2,5
10,St. Louis Rams,37,13,20.125,347.125,237.375,109.75,1.25,19.125,344.75,223.125,121.625,1.125,-59,-7.375,3,5
11,Denver Broncos,15,17,19.77777778,352.6666667,238.1111111,114.5555556,1.333333333,18.33333333,338.1111111,219.5555556,118.5555556,1.222222222,-35,-3.888888889,4,5
12,Green Bay Packers,17,13,19.7,352.1,240.4,111.7,1.4,18.6,343.2,219.5,123.7,1.1,-37,-3.7,4,6
13,San Francisco 49ers,20,26,19.45454545,346.4545455,235.7272727,110.7272727,1.272727273,19,345.1818182,216.6363636,128.5454545,1.181818182,-33,-3,5,6
14,Washington Redskins,21,24,19.5,347.9166667,232.25,115.6666667,1.25,18.5,340.6666667,212.75,127.9166667,1.083333333,-39,-3.25,5,7
15,Minnesota Vikings,17,38,19.53846154,350.1538462,236.6923077,113.4615385,1.230769231,18.92307692,343.2307692,217.5384615,125.6923077,1.076923077,-42,-3.230769231,5,8
16,Tampa Bay Buccaneers,26,21,19.64285714,346.0714286,234,112.0714286,1.285714286,19,343.7142857,217.7857143,125.9285714,1,-63,-4.5,5,9
17,Detroit Lions,20,24,19.73333333,344.8,228.6,116.2,1.2,19,346.7333333,222.2666667,124.4666667,1.133333333,-58,-3.866666667,6,9
