Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Indianapolis Colts,27,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,New England Patriots,32,40,15,342,195,147,0,23,304,240,64,3,13,13,1,0
3,Miami Dolphins,41,14,19,345.5,192,153.5,1.5,25.5,405.5,345.5,60,2.5,5,2.5,1,1
4,New York Giants,10,24,19.66666667,373,220.3333333,152.6666667,1,24,400.6666667,326.6666667,74,2.666666667,32,10.66666667,2,1
5,Tennessee Titans,14,13,18.25,358,229.75,128.25,1.25,22.75,376.25,297.75,78.5,2.25,18,4.5,2,2
6,Cincinnati Bengals,21,34,17.2,328.2,200.2,128,1.2,21.6,356.2,274,82.2,2,19,3.8,3,2
7,Jacksonville Jaguars,31,34,18,334.8333333,209.5,125.3333333,1.166666667,21.5,356,268.8333333,87.16666667,1.666666667,6,1,3,3
8,Bye Week,,,19.14285714,340.5714286,216.7142857,123.8571429,1.571428571,20.85714286,347.2857143,255.4285714,91.85714286,1.571428571,3,0.428571429,3,4
9,Miami Dolphins,33,17,19.14285714,340.5714286,216.7142857,123.8571429,1.571428571,20.85714286,347.2857143,255.4285714,91.85714286,1.571428571,3,0.428571429,3,4
10,New York Jets,22,17,19,350.5,208.875,141.625,1.375,21.875,353.5,259.625,93.875,1.5,19,2.375,4,4
11,New England Patriots,13,20,18.33333333,342.6666667,200.3333333,142.3333333,1.222222222,21.11111111,349.5555556,251.8888889,97.66666667,1.777777778,24,2.666666667,5,4
12,Kansas City Chiefs,22,30,18.1,340.3,202.8,137.5,1.2,20.8,350.2,253.8,96.4,1.7,17,1.7,5,5
13,Houston Texans,30,21,18.72727273,347.0909091,210.3636364,136.7272727,1.272727273,20.81818182,355.9090909,253.9090909,102,1.545454545,9,0.818181818,5,6
14,Philadelphia Eagles,20,23,18.41666667,350.6666667,209.75,140.9166667,1.166666667,20.83333333,359.6666667,255.6666667,104,1.5,18,1.5,6,6
15,Washington Redskins,25,35,18.38461538,355.3846154,213.6153846,141.7692308,1.230769231,20.76923077,358.7692308,253.8461538,104.9230769,1.461538462,15,1.153846154,6,7
16,Dallas Cowboys,16,6,18.57142857,362.2857143,213.5,148.7857143,1.142857143,20.92857143,363.9285714,257.7142857,106.2142857,1.428571429,5,0.357142857,6,8
17,New York Jets,22,17,18.6,365.3333333,210.7333333,154.6,1.2,20.46666667,360.1333333,252.9333333,107.2,1.466666667,15,1,7,8
