Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Atlanta Falcons,24,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Dallas Cowboys,10,20,23,399,336,63,2,21,395,290,105,2,-2,-2,0,1
3,New York Jets,24,17,20,312.5,277.5,35,2.5,21,377,270,107,2,-12,-6,0,2
4,Washington Redskins,20,23,19.33333333,285.3333333,221,64.33333333,2,20.33333333,359,272,87,2.666666667,-5,-1.666666667,1,2
5,New Orleans Saints,39,17,18,294,224,70,2,21.5,373.5,276.5,97,2.25,-8,-2,1,3
6,New York Giants,27,7,21.2,339,245.8,93.2,2,21,376.4,279.6,96.8,2.6,14,2.8,2,3
7,Carolina Panthers,16,27,21.66666667,353.8333333,249.8333333,104,2.333333333,20.5,354.8333333,260.6666667,94.16666667,2.666666667,34,5.666666667,3,3
8,Bye Week,,,21.42857143,353.1428571,238.7142857,114.4285714,2.142857143,20.57142857,360.4285714,250.5714286,109.8571429,2.714285714,23,3.285714286,3,4
9,Dallas Cowboys,33,27,21.42857143,353.1428571,238.7142857,114.4285714,2.142857143,20.57142857,360.4285714,250.5714286,109.8571429,2.714285714,23,3.285714286,3,4
10,Miami Dolphins,19,20,21.875,366.375,244.75,121.625,1.875,21.125,366.75,253.875,112.875,2.5,29,3.625,4,4
11,Tampa Bay Buccaneers,17,45,22.66666667,374.1111111,256.7777778,117.3333333,1.777777778,20.44444444,358.1111111,246.7777778,111.3333333,2.222222222,28,3.111111111,4,5
12,Detroit Lions,14,45,22.5,375,255.8,119.2,2,20.9,374.4,245.9,128.5,2.1,0,0,4,6
13,New England Patriots,35,28,21.72727273,361.5454545,247,114.5454545,1.909090909,21.54545455,379.4545455,252.8181818,126.6363636,1.909090909,-31,-2.818181818,4,7
14,Buffalo Bills,23,20,21.16666667,352.0833333,236.4166667,115.6666667,1.833333333,22,383.4166667,258.75,124.6666667,1.916666667,-24,-2,5,7
15,Arizona Cardinals,17,40,21.07692308,351.7692308,236.0769231,115.6923077,1.769230769,21.69230769,385.6153846,258.8461538,126.7692308,1.923076923,-21,-1.615384615,6,7
16,Washington Redskins,24,38,20.92857143,356.9285714,244.2142857,112.7142857,1.928571429,22.14285714,393.2857143,259.1428571,134.1428571,1.785714286,-44,-3.142857143,6,8
17,New York Giants,35,30,21.06666667,359.6666667,251.4666667,108.2,1.933333333,22.33333333,394.9333333,265.2666667,129.6666667,1.666666667,-58,-3.866666667,6,9
