Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Minnesota Vikings,20,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Pittsburgh Steelers,18,43,25,395,165,230,1,17,248,177,71,1,17,17,1,0
3,Arizona Cardinals,7,47,26,402,231.5,170.5,1,19,350.5,273,77.5,0.5,-8,-4,1,1
4,Green Bay Packers,3,17,20.66666667,320,172,148,2,22,382.3333333,284.3333333,98,0.666666667,-48,-16,1,2
5,New York Giants,27,30,17.5,289,158.75,130.25,1.75,21,377.25,263.25,114,0.5,-62,-15.5,1,3
6,Baltimore Ravens,25,20,18.4,307.2,178.2,129,1.4,22.8,406.8,298.8,108,0.6,-65,-13,1,4
7,Seattle Seahawks,3,20,17.83333333,321.1666667,202.8333333,118.3333333,1.166666667,23.16666667,409,306.1666667,102.8333333,0.833333333,-60,-10,2,4
8,St. Louis Rams,6,27,16.42857143,295.5714286,185.4285714,110.1428571,1,22.85714286,406,292.7142857,113.2857143,1,-77,-11,2,5
9,Atlanta Falcons,17,16,15.75,282.25,181.125,101.125,0.875,22,403.75,280,123.75,1,-98,-12.25,2,6
10,Bye Week,,,16,286.2222222,181.5555556,104.6666667,1,21.44444444,392.4444444,280.5555556,111.8888889,0.888888889,-97,-10.77777778,3,6
11,Seattle Seahawks,13,29,16,286.2222222,181.5555556,104.6666667,1,21.44444444,392.4444444,280.5555556,111.8888889,0.888888889,-97,-10.77777778,3,6
12,Arizona Cardinals,13,19,15.8,288.2,188.1,100.1,0.9,22.1,404,277.8,126.2,0.8,-113,-11.3,3,7
13,Chicago Bears,26,20,15.90909091,295.4545455,198.3636364,97.09090909,1,22.45454545,397.9090909,276.8181818,121.0909091,0.727272727,-119,-10.81818182,3,8
14,Cleveland Browns,10,24,15.66666667,295.0833333,196,99.08333333,0.916666667,22.25,395.0833333,269.9166667,125.1666667,0.75,-113,-9.416666667,4,8
15,Cincinnati Bengals,14,24,15.61538462,289.3846154,192.4615385,96.92307692,0.846153846,22.69230769,401.6923077,268.4615385,133.2307692,0.846153846,-127,-9.769230769,4,9
16,Detroit Lions,17,32,15.71428571,291.4285714,197.5,93.92857143,1.071428571,22.07142857,390.2857143,261.7142857,128.5714286,0.857142857,-137,-9.785714286,4,10
17,St. Louis Rams,19,16,16,293.4666667,197.7333333,95.73333333,1.066666667,22.33333333,389,263.2,125.8,0.8,-152,-10.13333333,4,11
