Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Detroit Lions,33,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cincinnati Bengals,19,24,28,483,387,96,3,16,302,233,69,2,5,5,1,0
3,Minnesota Vikings,14,31,23.5,418.5,305,113.5,3,18,345.5,223.5,122,2,0,0,1,1
4,Cleveland Browns,30,27,22.66666667,402,296.3333333,105.6666667,2.666666667,18,325,189.3333333,135.6666667,1.666666667,-17,-5.666666667,1,2
5,Pittsburgh Steelers,20,24,22.75,411,309,102,2,18.5,351.75,225,126.75,1.5,-14,-3.5,2,2
6,Green Bay Packers,20,27,23,410,318,92,2,17.6,351.2,218.8,132.4,1.4,-18,-3.6,2,3
7,Oakland Raiders,29,37,24.5,433,346.3333333,86.66666667,1.833333333,17.5,354.3333333,221.8333333,132.5,1.166666667,-25,-4.166666667,2,4
8,Baltimore Ravens,26,29,25,430.7142857,343.5714286,87.14285714,1.857142857,17.71428571,362.5714286,230.4285714,132.1428571,1,-33,-4.714285714,2,5
9,Chicago Bears,19,22,24.625,423.25,336.875,86.375,1.625,18.375,362.875,238.25,124.625,0.875,-36,-4.5,2,6
10,Bye Week,,,24,413.8888889,328.5555556,85.33333333,1.555555556,19.11111111,372.1111111,249.2222222,122.8888889,1,-39,-4.333333333,2,7
11,Kansas City Chiefs,3,33,24,413.8888889,328.5555556,85.33333333,1.555555556,19.11111111,372.1111111,249.2222222,122.8888889,1,-39,-4.333333333,2,7
12,Jacksonville Jaguars,31,25,23,392.6,310.6,82,1.6,19.4,373.4,247.5,125.9,0.9,-69,-6.9,2,8
13,Denver Broncos,3,17,23.09090909,390.4545455,308.7272727,81.72727273,1.454545455,19.45454545,377.6363636,253.9090909,123.7272727,0.909090909,-63,-5.727272727,3,8
14,Kansas City Chiefs,3,10,22.41666667,380.5833333,297.9166667,82.66666667,1.583333333,19.41666667,370.5833333,246,124.5833333,0.916666667,-77,-6.416666667,3,9
15,Miami Dolphins,30,14,21.84615385,372.8461538,293.1538462,79.69230769,1.538461538,19.30769231,367.3846154,240.8461538,126.5384615,1,-84,-6.461538462,3,10
16,Oakland Raiders,20,23,22.14285714,377.7857143,293.7857143,84,1.571428571,18.85714286,357.6428571,237,120.6428571,1,-68,-4.857142857,4,10
17,Denver Broncos,20,27,21.93333333,375.4666667,292.2666667,83.2,1.533333333,18.53333333,352.5333333,232.8666667,119.6666667,1,-71,-4.733333333,4,11
