Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Carolina Panthers,9,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Miami Dolphins,23,20,18,265,169,96,3,17,263,158,105,1,-11,-11,0,1
3,New England Patriots,17,51,18.5,330.5,221,109.5,1.5,17,324.5,251,73.5,0.5,-8,-4,1,1
4,Indianapolis Colts,13,16,17.33333333,318,226,92,1.333333333,23,373.3333333,282.6666667,90.66666667,0.333333333,-42,-14,1,2
5,Tampa Bay Buccaneers,31,38,18.25,346.25,241.75,104.5,1,22.75,361.5,278.5,83,0.75,-45,-11.25,1,3
6,Houston Texans,20,31,18.8,342,247.4,94.6,1.2,22.2,363,260,103,0.6,-52,-10.4,1,4
7,Buffalo Bills,34,31,20,350.6666667,258,92.66666667,1.5,22.5,366.1666667,264.5,101.6666667,0.5,-63,-10.5,1,5
8,Bye Week,,,19.57142857,342.7142857,246.1428571,96.57142857,1.428571429,23,367.4285714,263.8571429,103.5714286,1,-60,-8.571428571,2,5
9,New York Jets,23,28,19.57142857,342.7142857,246.1428571,96.57142857,1.428571429,23,367.4285714,263.8571429,103.5714286,1,-60,-8.571428571,2,5
10,Baltimore Ravens,22,20,19.5,354.375,257.625,96.75,1.75,21.875,357.75,263.5,94.25,0.875,-65,-8.125,2,6
11,Tennessee Titans,19,13,19.77777778,343.6666667,247.6666667,96,1.666666667,21.88888889,362.1111111,268.4444444,93.66666667,1.222222222,-63,-7,3,6
12,San Diego Chargers,25,31,19.6,340.1,244.7,95.4,1.7,21.9,357.5,262.8,94.7,1.2,-57,-5.7,4,6
13,Tennessee Titans,39,42,19.63636364,347.3636364,251.3636364,96,1.636363636,22.09090909,358.5454545,265.2727273,93.27272727,1.090909091,-63,-5.727272727,4,7
14,Indianapolis Colts,51,16,19.66666667,350.3333333,255.5833333,94.75,1.583333333,22.41666667,367.5833333,264.5833333,103,1.166666667,-66,-5.5,4,8
15,Atlanta Falcons,17,23,20,352.6153846,253.3076923,99.30769231,1.615384615,22,364.0769231,261.6923077,102.3846154,1.230769231,-31,-2.384615385,5,8
16,New Orleans Saints,27,38,20.07142857,353.8571429,255.5714286,98.28571429,1.571428571,22,361.5,260.5,101,1.214285714,-37,-2.642857143,5,9
17,Houston Texans,6,30,20.13333333,357.7333333,261.6666667,96.06666667,1.6,22.46666667,373.2,269.9333333,103.2666667,1.133333333,-48,-3.2,5,10
