Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,San Diego Chargers,28,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Minnesota Vikings,16,26,16,302,233,69,2,28,483,387,96,3,-5,-5,0,1
3,Denver Broncos,12,24,20.5,312.5,259,53.5,2.5,24,416.5,269,147.5,2,-15,-7.5,0,2
4,Seattle Seahawks,10,13,21,305,260,45,2.666666667,22.33333333,395.6666667,283.6666667,112,2,-27,-9,0,3
5,Arizona Cardinals,17,42,18.75,292.75,245.75,47,2.25,21.25,383,271.5,111.5,2.25,-30,-7.5,0,4
6,Chicago Bears,37,34,20.8,321.2,272.4,48.8,3,20,375.4,248.8,126.6,1.8,-55,-11,0,5
7,Minnesota Vikings,19,28,21.66666667,358.6666667,292.1666667,66.5,3,20.66666667,386.8333333,266.1666667,120.6666667,1.666666667,-52,-8.666666667,1,5
8,Kansas City Chiefs,10,45,20.57142857,346.5714286,278.5714286,68,2.571428571,21.28571429,392.2857143,268.8571429,123.4285714,1.571428571,-61,-8.714285714,1,6
9,Bye Week,,,20,337.75,268.125,69.625,2.5,21.625,385.75,252,133.75,1.375,-96,-12,1,7
10,Green Bay Packers,18,16,20,337.75,268.125,69.625,2.5,21.625,385.75,252,133.75,1.375,-96,-12,1,7
11,Oakland Raiders,18,13,19.55555556,332.1111111,265.2222222,66.88888889,2.333333333,21.66666667,384.2222222,260.1111111,124.1111111,1.222222222,-94,-10.44444444,2,7
12,Philadelphia Eagles,45,14,19.8,336.4,265.3,71.1,2.1,20.8,367.4,250.5,116.9,1.1,-89,-8.9,3,7
13,Green Bay Packers,23,27,20.54545455,344.9090909,270.4545455,74.45454545,1.909090909,20.18181818,354.6363636,242.1818182,112.4545455,1.090909091,-58,-5.272727273,4,7
14,St. Louis Rams,14,21,20.25,341.6666667,265,76.66666667,1.833333333,20.08333333,351.1666667,242.5,108.6666667,1.083333333,-62,-5.166666667,4,8
15,New Orleans Saints,35,27,20.38461538,340.8461538,261.5384615,79.30769231,1.769230769,19.69230769,348.5384615,232.6153846,115.9230769,1.153846154,-69,-5.307692308,4,9
16,San Francisco 49ers,32,17,20.64285714,344.7857143,260.4285714,84.35714286,1.714285714,20.21428571,352.1428571,239.5714286,112.5714286,1.071428571,-61,-4.357142857,5,9
17,Chicago Bears,24,20,21,346.5333333,262,84.53333333,1.6,20.2,350.1333333,237,113.1333333,1.066666667,-46,-3.066666667,6,9
