Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Seattle Seahawks,34,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Washington Redskins,10,24,19,352,276,76,3,21,343,219,124,1,3,3,1,0
3,Pittsburgh Steelers,6,12,15,282.5,211,71.5,1.5,20,358,205,153,1,-11,-5.5,1,1
4,Arizona Cardinals,24,22,14,274.3333333,203,71.33333333,1.333333333,19,325,202.3333333,122.6666667,1,-17,-5.666666667,1,2
5,Green Bay Packers,10,24,13.75,287.75,193.25,94.5,1,20.75,355.5,235.25,120.25,1.5,-15,-3.75,2,2
6,Bye Week,,,14.4,297,183.2,113.8,1.6,19.4,348.8,235.4,113.4,1.8,-29,-5.8,2,3
7,Cleveland Browns,24,6,14.4,297,183.2,113.8,1.6,19.4,348.8,235.4,113.4,1.8,-29,-5.8,2,3
8,San Francisco 49ers,27,6,14.66666667,298.8333333,177.6666667,121.1666667,1.5,19.33333333,351.3333333,243.1666667,108.1666667,2.166666667,-11,-1.833333333,3,3
9,Minnesota Vikings,18,21,14.85714286,311.5714286,179.5714286,132,1.428571429,18.14285714,328.1428571,230,98.14285714,1.857142857,10,1.428571429,4,3
10,Chicago Bears,13,37,15.25,312.625,177.125,135.5,1.25,18.5,323.75,219.75,104,1.75,7,0.875,4,4
11,Baltimore Ravens,13,16,14.88888889,309.5555556,178.6666667,130.8888889,1.333333333,18.33333333,331.8888889,222.4444444,109.4444444,1.777777778,-17,-1.888888889,4,5
12,Cincinnati Bengals,7,31,14.7,299.9,173.9,126,1.6,18.1,337.5,229.4,108.1,1.8,-20,-2,4,6
13,Arizona Cardinals,3,27,15.09090909,304,180.9090909,123.0909091,1.727272727,18.18181818,341,230,111,1.727272727,-44,-4,4,7
14,Detroit Lions,21,14,14.58333333,296.3333333,178,118.3333333,1.666666667,19.08333333,356.25,239.9166667,116.3333333,1.583333333,-68,-5.666666667,4,8
15,Tampa Bay Buccaneers,31,23,14.61538462,297.9230769,173.0769231,124.8461538,1.692307692,19.30769231,354.3076923,238.3846154,115.9230769,1.538461538,-61,-4.692307692,5,8
16,Seattle Seahawks,23,17,14.71428571,299.4285714,176.5,122.9285714,1.571428571,20.07142857,365.3571429,247.2857143,118.0714286,1.571428571,-53,-3.785714286,6,8
17,San Francisco 49ers,16,19,14.66666667,293.1333333,171.6,121.5333333,1.466666667,19.93333333,361.8,247.6666667,114.1333333,1.666666667,-47,-3.133333333,7,8
