Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Denver Broncos,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Oakland Raiders,33,37,11,173,100,73,2,16,219,150,69,1,-6,-6,0,1
3,Cincinnati Bengals,24,28,20,333,242,91,2,21.5,333.5,250.5,83,1,-10,-5,0,2
4,Pittsburgh Steelers,23,20,19.66666667,354.6666667,282,72.66666667,1.666666667,22,375,291,84,1.333333333,-14,-4.666666667,0,3
5,Cleveland Browns,30,33,20,355,252.75,102.25,1.75,20.75,347,242.25,104.75,1,-11,-2.75,1,3
6,San Francisco 49ers,20,25,20.4,359.4,241.4,118,1.4,21.6,378.6,278.2,100.4,0.8,-14,-2.8,1,4
7,Arizona Cardinals,18,26,21.16666667,369.5,258.3333333,111.1666667,1.5,20.5,380.6666667,286.1666667,94.5,0.666666667,-19,-3.166666667,1,5
8,San Diego Chargers,29,26,20.71428571,356.1428571,253,103.1428571,1.571428571,20.57142857,385.4285714,283,102.4285714,0.571428571,-27,-3.857142857,1,6
9,Bye Week,,,21,357.25,258,99.25,1.375,20.75,383.625,283.875,99.75,0.5,-24,-3,2,6
10,Jacksonville Jaguars,20,22,21,357.25,258,99.25,1.375,20.75,383.625,283.875,99.75,0.5,-24,-3,2,6
11,St. Louis Rams,16,13,21.11111111,361.6666667,263.5555556,98.11111111,1.666666667,20.88888889,369.6666667,271,98.66666667,0.555555556,-26,-2.888888889,2,7
12,Cleveland Browns,33,27,20.6,364.3,266.4,97.9,1.7,20.1,354,257,97,0.9,-23,-2.3,3,7
13,Miami Dolphins,13,15,20.18181818,361.7272727,263.2727273,98.45454545,1.727272727,20.18181818,352.5454545,258.6363636,93.90909091,0.818181818,-17,-1.545454545,4,7
14,Seattle Seahawks,6,35,20.33333333,362.8333333,264.75,98.08333333,1.75,19.16666667,341.4166667,243.9166667,97.5,0.833333333,-19,-1.583333333,4,8
15,Kansas City Chiefs,14,34,20,358.1538462,265.4615385,92.69230769,1.769230769,19.84615385,347.7692308,248.3076923,99.46153846,0.846153846,-48,-3.692307692,4,9
16,Pittsburgh Steelers,20,17,19.92857143,358.7142857,266,92.71428571,1.857142857,19.5,342.7142857,242.2857143,100.4285714,0.785714286,-68,-4.857142857,4,10
17,Cincinnati Bengals,16,24,20.06666667,360.5333333,265.9333333,94.6,1.733333333,19.6,340.4,239.3333333,101.0666667,0.933333333,-65,-4.333333333,5,10
