Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Arizona Cardinals,19,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Tampa Bay Buccaneers,19,26,18,408,354,54,1,25,427,307,120,1,-12,-12,0,1
3,Carolina Panthers,22,27,19.5,365.5,286.5,79,2,21.5,380,250.5,129.5,1.5,-19,-9.5,0,2
4,Dallas Cowboys,26,20,22,370.3333333,294.3333333,76,2,22.33333333,397,271,126,1,-24,-8,0,3
5,Philadelphia Eagles,17,39,23.25,387.25,304.5,82.75,1.5,22,381.5,258.25,123.25,0.75,-18,-4.5,1,3
6,Atlanta Falcons,31,21,22.4,387.4,302,85.4,2,24.4,409,273.2,135.8,1,-40,-8,1,4
7,Indianapolis Colts,27,21,22.83333333,387,302.3333333,84.66666667,1.666666667,24.16666667,409.6666667,271.5,138.1666667,1.333333333,-30,-5,2,4
8,New York Giants,52,49,22.71428571,395.8571429,297.1428571,98.71428571,1.571428571,22.85714286,404.8571429,275.7142857,129.1428571,1.571428571,-24,-3.428571429,3,4
9,Tennessee Titans,28,34,24.25,422.375,323.125,99.25,1.625,23.5,406.25,282.375,123.875,1.5,-21,-2.625,4,4
10,Washington Redskins,14,47,24.88888889,421.6666667,326.6666667,95,1.666666667,23.66666667,414.7777778,292.2222222,122.5555556,1.444444444,-27,-3,4,5
11,Bye Week,,,24,414.5,313.2,101.3,1.7,23.6,424.3,293.1,131.2,1.3,-60,-6,4,6
12,Houston Texans,6,24,24,414.5,313.2,101.3,1.7,23.6,424.3,293.1,131.2,1.3,-60,-6,4,6
13,Carolina Panthers,38,41,23.09090909,401.1818182,304.5454545,96.63636364,1.636363636,23.54545455,418.6363636,284.1818182,134.4545455,1.272727273,-78,-7.090909091,4,7
14,Tampa Bay Buccaneers,24,17,22.91666667,395.5833333,301.1666667,94.41666667,1.583333333,24.33333333,425.1666667,287.3333333,137.8333333,1.416666667,-81,-6.75,4,8
15,Detroit Lions,27,35,23.15384615,395,301.1538462,93.84615385,1.461538462,23.84615385,414.8461538,278.7692308,136.0769231,1.307692308,-74,-5.692307692,5,8
16,Jacksonville Jaguars,38,27,23.42857143,395.2857143,303.2142857,92.07142857,1.357142857,23.85714286,413.5,276.4285714,137.0714286,1.285714286,-82,-5.857142857,5,9
17,Atlanta Falcons,20,17,23.8,404.7333333,309.8,94.93333333,1.266666667,23.66666667,413.4,281.1333333,132.2666667,1.333333333,-71,-4.733333333,6,9
