Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,Tampa Bay Buccaneers,42,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Cleveland Browns,14,28,20,309,185,124,1,16,273,181,92,2,28,28,1,0
3,Indianapolis Colts,33,35,20.5,347,202,145,2,14.5,273.5,169.5,104,1,14,7,1,1
4,Bye Week,,,23,375.6666667,249.6666667,126,2,16.33333333,308.3333333,194.6666667,113.6666667,1.333333333,12,4,1,2
5,Buffalo Bills,13,14,23,375.6666667,249.6666667,126,2,16.33333333,308.3333333,194.6666667,113.6666667,1.333333333,12,4,1,2
6,Miami Dolphins,10,38,21.5,350.75,232,118.75,1.75,15.5,283.5,166.5,117,1.25,11,2.75,1,3
7,Atlanta Falcons,7,10,21.6,340.4,232.8,107.6,2.2,17.6,313.6,184,129.6,1.4,-17,-3.4,1,4
8,Houston Texans,6,20,20.5,326.3333333,223.8333333,102.5,2.166666667,18.16666667,324.3333333,195.1666667,129.1666667,1.5,-20,-3.333333333,1,5
9,New Orleans Saints,34,28,19.71428571,309.8571429,209.7142857,100.1428571,2.285714286,17.57142857,316.5714286,197.8571429,118.7142857,1.285714286,-34,-4.857142857,1,6
10,Carolina Panthers,10,27,20.375,331.5,229.875,101.625,2.125,19.125,329,217.5,111.5,1.375,-28,-3.5,2,6
11,Jacksonville Jaguars,13,19,19.33333333,321.5555556,224.1111111,97.44444444,2.111111111,19.66666667,329.7777778,217.4444444,112.3333333,1.222222222,-45,-5,2,7
12,Oakland Raiders,21,24,19.6,321,222.9,98.1,2,19.5,327.6,217.5,110.1,1.3,-51,-5.1,2,8
13,Jacksonville Jaguars,42,39,19.54545455,314.4545455,221.2727273,93.18181818,2,19.72727273,334.8181818,227.0909091,107.7272727,1.363636364,-54,-4.909090909,2,9
14,New York Jets,8,30,20.08333333,327.1666667,224.25,102.9166667,2,19.75,338.8333333,233.3333333,105.5,1.333333333,-51,-4.25,3,9
15,New England Patriots,16,33,19.69230769,324.4615385,227.6153846,96.84615385,1.923076923,20.07692308,346.5384615,235.0769231,111.4615385,1.230769231,-73,-5.615384615,3,10
16,Houston Texans,6,34,19.35714286,321.4285714,227.2857143,94.14285714,2,19.85714286,346.5,236.3571429,110.1428571,1.214285714,-90,-6.428571429,3,11
17,Indianapolis Colts,24,30,18.93333333,317.1333333,227.2666667,89.86666667,2.133333333,19.8,345.4,234.0666667,111.3333333,1.2,-118,-7.866666667,3,12
