Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses
1,San Francisco 49ers,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Detroit Lions,26,16,17,248,177,71,1,25,395,165,230,1,-17,-17,0,1
3,San Diego Chargers,31,14,18.5,299,164,135,1,25,359,225,134,2,-7,-3.5,1,1
4,Denver Broncos,20,23,18.33333333,294,149.6666667,144.3333333,1,23.66666667,362.3333333,243,119.3333333,2,10,3.333333333,2,1
5,Bye Week,,,18.5,301.75,165.25,136.5,1,22.25,357.75,232.25,125.5,2,7,1.75,2,2
6,Kansas City Chiefs,16,10,18.5,301.75,165.25,136.5,1,22.25,357.75,232.25,125.5,2,7,1.75,2,2
7,Detroit Lions,28,19,18,305.6,179.6,126,1.2,21,351.8,240,111.8,1.8,13,2.6,3,2
8,Chicago Bears,23,20,19.16666667,325.5,197.1666667,128.3333333,1.166666667,19.83333333,338.8333333,232.8333333,106,1.5,22,3.666666667,4,2
9,St. Louis Rams,21,18,18.85714286,325.7142857,194.7142857,131,1.142857143,19.57142857,334,229.2857143,104.7142857,1.285714286,25,3.571428571,5,2
10,Oakland Raiders,30,14,19.125,321.625,188.875,132.75,1.125,19.375,332.25,220.625,111.625,1.125,28,3.5,6,2
11,Green Bay Packers,13,30,19.33333333,328.6666667,181.4444444,147.2222222,1,19.44444444,336.5555556,228,108.5555556,1.222222222,44,4.888888889,7,2
12,Atlanta Falcons,20,10,19,330,188.1,141.9,1,19.4,334.9,224.8,110.1,1.1,27,2.7,7,3
13,Seattle Seahawks,7,38,19.45454545,333.1818182,186.8181818,146.3636364,1,19.63636364,334.0909091,223.4545455,110.6363636,1.272727273,37,3.363636364,8,3
14,Arizona Cardinals,20,23,18.58333333,315.8333333,179.0833333,136.75,1,20.08333333,342.3333333,226.5,115.8333333,1.25,6,0.5,8,4
15,Chicago Bears,38,17,18.92307692,321.4615385,189.6923077,131.7692308,1.153846154,20.23076923,346.2307692,231.8461538,114.3846154,1.153846154,3,0.230769231,8,5
16,New York Giants,49,17,19,323.5,191.9285714,131.5714286,1.071428571,20.28571429,342.4285714,229.5,112.9285714,1.214285714,24,1.714285714,9,5
17,Green Bay Packers,20,13,18.86666667,326.4666667,189.1333333,137.3333333,1,19.93333333,343.8,232.3333333,111.4666667,1.333333333,56,3.733333333,10,5
