Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Oakland Raiders,33,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2,San Diego Chargers,24,19,22,396,269,127,0,16,246,183,63,2,20,20,1,0,1,-3.5
3,Baltimore Ravens,28,24,21,392.5,241.5,151,1,17.5,300,203,97,2.5,25,12.5,2,0,0,1.5
4,Kansas City Chiefs,36,21,21.66666667,414.3333333,285,129.3333333,1.333333333,18,332.6666667,256,76.66666667,2,29,9.666666667,3,0,1,-3.5
5,Seattle Seahawks,27,24,20.75,422,294,128,1,19.5,364.75,279,85.75,1.75,44,11,4,0,1,-3
6,Buffalo Bills,34,21,22,421.4,297.2,124.2,1.2,18.8,371.2,262.6,108.6,1.6,47,9.4,5,0,0,-3
7,Bye Week,,,21.83333333,410.3333333,288.1666667,122.1666667,1,19.33333333,370.6666667,261.5,109.1666667,1.5,60,10,6,0,,
8,Pittsburgh Steelers,16,10,21.83333333,410.3333333,288.1666667,122.1666667,1,19.33333333,370.6666667,261.5,109.1666667,1.5,60,10,6,0,0,0
9,Cleveland Browns,31,10,21,394,278.1428571,115.8571429,1.142857143,19.57142857,368.5714286,258.4285714,110.1428571,1.714285714,66,9.428571429,7,0,1,-13
10,Houston Texans,6,10,21.25,391.125,270.75,120.375,1,18.75,349.125,244.125,105,1.5,87,10.875,8,0,1,-10
11,Arizona Cardinals,31,34,20.66666667,376.1111111,260.8888889,115.2222222,1.111111111,18.44444444,338.7777778,236.3333333,102.4444444,1.444444444,83,9.222222222,8,1,0,4
12,St. Louis Rams,31,7,21,376.2,262.6,113.6,1.1,18.7,343.2,242.8,100.4,1.5,80,8,8,2,1,-9.5
13,Cleveland Browns,37,3,20.81818182,376.1818182,260.1818182,116,1.090909091,18.72727273,343.3636364,243.5454545,99.81818182,1.636363636,104,9.454545455,9,2,0,-7.5
14,Pittsburgh Steelers,20,33,20.75,376.25,257.9166667,118.3333333,1,18.66666667,337.5,240.3333333,97.16666667,1.666666667,138,11.5,10,2,1,-1
15,San Francisco 49ers,24,14,20.84615385,376.9230769,262.7692308,114.1538462,1.153846154,18.92307692,338.7692308,242.6153846,96.15384615,1.615384615,125,9.615384615,10,3,0,-6.5
16,Denver Broncos,17,20,20.35714286,367.2857143,256.4285714,110.8571429,1.142857143,18.78571429,337.2857143,244.0714286,93.21428571,1.785714286,135,9.642857143,11,3,0,4
17,Baltimore Ravens,24,16,20.46666667,362.4,251.7333333,110.6666667,1.133333333,19,340.8,246.2666667,94.53333333,1.733333333,132,8.8,11,4,1,-9.5
