Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Baltimore Ravens,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-4.5
2,Kansas City Chiefs,31,24,16,219,150,69,1,11,173,100,73,2,6,6,1,0,0,3
3,Detroit Lions,24,12,18.5,259,194,65,1,15.5,243.5,133.5,110,3.5,13,6.5,2,0,0,-3
4,Minnesota Vikings,23,20,18.66666667,290.6666667,233.6666667,57,1.333333333,17.66666667,259,176.3333333,82.66666667,3.333333333,25,8.333333333,3,0,1,-7
5,Oakland Raiders,16,10,18.5,304,225.25,78.75,1.5,18,275.5,185.25,90.25,2.75,28,7,4,0,0,-5.5
6,Cleveland Browns,26,23,17.8,302.6,231,71.6,1.6,18.4,278,192.8,85.2,2.8,34,6.8,5,0,0,-3.5
7,Bye Week,,,18.33333333,325.8333333,240.8333333,85,1.833333333,18.66666667,281.3333333,192.1666667,89.16666667,2.833333333,37,6.166666667,6,0,,
8,Green Bay Packers,29,10,18.33333333,325.8333333,240.8333333,85,1.833333333,18.66666667,281.3333333,192.1666667,89.16666667,2.833333333,37,6.166666667,6,0,1,2.5
9,Indianapolis Colts,24,27,19.14285714,350.7142857,255,95.71428571,1.714285714,18,261.1428571,171.8571429,89.28571429,2.428571429,56,8,7,0,0,-3.5
10,Kansas City Chiefs,13,29,18.75,345.5,257.375,88.125,1.75,19.125,274.125,181,93.125,2.125,53,6.625,7,1,1,-3.5
11,Chicago Bears,17,15,18.66666667,331.6666667,245.6666667,86,2.111111111,18.44444444,277.3333333,182.7777778,94.55555556,1.888888889,37,4.111111111,7,2,0,-2
12,New England Patriots,30,24,18.9,337.4,243,94.4,1.9,18.5,284.3,190.6,93.7,1.9,39,3.9,8,2,1,2.5
13,San Diego Chargers,17,3,19.27272727,346.0909091,244,102.0909091,1.818181818,18.27272727,285.8181818,197.0909091,88.72727273,1.818181818,45,4.090909091,9,2,0,-6
14,Oakland Raiders,12,15,19.25,341.6666667,236.9166667,104.75,1.75,18,284.6666667,195.5833333,89.08333333,1.916666667,59,4.916666667,10,2,1,-6
15,Pittsburgh Steelers,27,34,19.30769231,339.2307692,239.9230769,99.30769231,1.769230769,17.23076923,272.4615385,188.1538462,84.30769231,1.769230769,56,4.307692308,10,3,0,7.5
16,Cincinnati Bengals,20,17,19.35714286,342.5,242.8571429,99.64285714,1.785714286,18,279.9285714,200,79.92857143,1.785714286,49,3.5,10,4,1,-4
17,San Diego Chargers,27,20,19.53333333,345.6666667,245.1333333,100.5333333,1.733333333,18.26666667,280.8666667,199.0666667,81.8,1.733333333,52,3.466666667,11,4,1,-10
