Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Tennessee Titans,14,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3
2,New Orleans Saints,26,19,16,273,181,92,2,20,309,185,124,1,-28,-28,0,1,0,9
3,Houston Texans,9,19,17,303,187.5,115.5,2,20.5,316,202,114,2,-21,-10.5,1,1,0,6
4,Carolina Panthers,23,37,16,308,212,96,1.666666667,23.66666667,348.3333333,210.3333333,138,1.666666667,-31,-10.33333333,1,2,1,3
5,Jacksonville Jaguars,38,31,18.25,333.75,226.5,107.25,2.5,22,322.25,185.5,136.75,1.5,-45,-11.25,1,3,1,-1
6,Bye Week,,,18.6,340.8,218.4,122.4,2,21.8,322.8,202.4,120.4,1.6,-38,-7.6,2,3,,
7,Washington Redskins,30,31,18.6,340.8,218.4,122.4,2,21.8,322.8,202.4,120.4,1.6,-38,-7.6,2,3,0,3
8,Atlanta Falcons,23,20,19,363.8333333,230.1666667,133.6666667,1.833333333,22.66666667,328.1666667,219.5,108.6666667,1.5,-39,-6.5,2,4,0,8
9,New York Giants,18,32,19.28571429,353.2857143,222,131.2857143,1.571428571,23.42857143,352.1428571,244.5714286,107.5714286,1.857142857,-36,-5.142857143,3,4,1,2
10,Dallas Cowboys,10,6,19.25,357,225.125,131.875,1.75,23.5,349,240.625,108.375,1.875,-50,-6.25,3,5,1,1
11,Philadelphia Eagles,45,17,19.66666667,354,227.4444444,126.5555556,1.777777778,22.22222222,335.5555556,234.5555556,101,1.777777778,-46,-5.111111111,4,5,0,6.5
12,Indianapolis Colts,12,25,20.2,370.7,228.5,142.2,1.7,22.1,340.3,235.8,104.5,2,-18,-1.8,5,5,0,3
13,Atlanta Falcons,23,19,20.27272727,368.2727273,227,141.2727273,1.636363636,22.18181818,339.9090909,242.4545455,97.45454545,1.818181818,-31,-2.818181818,5,6,1,0
14,New Orleans Saints,17,24,20.66666667,369.9166667,226.5833333,143.3333333,1.666666667,22.08333333,338.1666667,243.5,94.66666667,1.75,-27,-2.25,6,6,1,-6
15,St. Louis Rams,23,31,20.46153846,363.8461538,222.6923077,141.1538462,1.538461538,22.38461538,342,247.9230769,94.07692308,1.615384615,-34,-2.615384615,6,7,0,1
16,Chicago Bears,21,26,21.14285714,374.2142857,232.7142857,141.5,1.571428571,21.92857143,340.3571429,246,94.35714286,1.5,-42,-3,6,8,1,-3
17,Carolina Panthers,10,38,21,375.2,236.2,139,1.666666667,21.86666667,339.4666667,239.8,99.66666667,1.4,-47,-3.133333333,6,9,0,10
