Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,New Orleans Saints,31,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-2.5
2,Chicago Bears,48,23,25,427,307,120,1,18,408,354,54,1,12,12,1,0,0,-2
3,San Francisco 49ers,47,7,23,363.5,246,117.5,1.5,18,371.5,290,81.5,1.5,37,18.5,2,0,1,-7
4,St. Louis Rams,22,24,24.66666667,391,266.3333333,124.6666667,1.333333333,15.33333333,299.6666667,211,88.66666667,2.333333333,77,25.66666667,3,0,1,-7
5,Detroit Lions,42,17,25,405,283.25,121.75,1.75,14.75,306.75,199.25,107.5,1.75,75,18.75,3,1,0,-4.5
6,Pittsburgh Steelers,13,25,23,393,258.2,134.8,1.4,17.6,332.4,235.2,97.2,2.6,100,20,4,1,0,-5.5
7,Baltimore Ravens,26,18,22.66666667,405.6666667,284.1666667,121.5,1.666666667,17,328.6666667,224.1666667,104.5,2.166666667,88,14.66666667,4,2,1,-10
8,Cleveland Browns,34,20,22.42857143,406.8571429,281.2857143,125.5714286,1.428571429,17.14285714,321.1428571,223.7142857,97.42857143,2.142857143,96,13.71428571,5,2,0,-7
9,Bye Week,,,22.75,417.375,292.625,124.75,1.75,17,312.75,222.625,90.125,2.125,110,13.75,6,2,,
10,Seattle Seahawks,39,32,22.75,417.375,292.625,124.75,1.75,17,312.75,222.625,90.125,2.125,110,13.75,6,2,0,3
11,Cincinnati Bengals,34,31,23.55555556,421.1111111,297.2222222,123.8888889,1.888888889,17.11111111,316.1111111,223.2222222,92.88888889,2,117,13,7,2,1,-4
12,San Francisco 49ers,19,13,23.3,417.3,297.6,119.7,1.9,17.8,322.2,228.7,93.5,1.9,120,12,8,2,0,-8.5
13,St. Louis Rams,27,3,23.54545455,410,294.8181818,115.1818182,1.727272727,17.72727273,326.3636364,235.2727273,91.09090909,1.909090909,126,11.45454545,9,2,0,-3.5
14,Minnesota Vikings,23,20,24,419.5,299.3333333,120.1666667,1.583333333,17,316.8333333,227.8333333,89,1.833333333,150,12.5,10,2,1,-10
15,Philadelphia Eagles,40,17,23.84615385,417.4615385,299.0769231,118.3846154,1.461538462,17.46153846,322.3846154,234.6923077,87.69230769,1.923076923,153,11.76923077,11,2,0,-4
16,Green Bay Packers,38,8,24.14285714,422.8571429,296.5,126.3571429,1.357142857,17.57142857,329.6428571,242.9285714,86.71428571,2.071428571,176,12.57142857,12,2,1,-6
17,Seattle Seahawks,6,36,23.8,420.0666667,294.0666667,126,1.4,17.46666667,319.5333333,231.8666667,87.66666667,2.2,206,13.73333333,13,2,1,-6
