Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Houston Texans,27,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2,Denver Broncos,24,31,19,330,233,97,0,24,396,298,98,2,7,7,1,0,1,-3
3,Green Bay Packers,28,38,19.5,322,200,122,2.5,22.5,347.5,268,79.5,1.5,0,0,1,1,0,5.5
4,Cincinnati Bengals,21,36,20.66666667,323.3333333,217,106.3333333,2,23.66666667,381,287,94,1,-10,-3.333333333,1,2,0,3.5
5,Chicago Bears,17,18,21.5,357.75,249.75,108,1.75,22.25,397,295.5,101.5,0.75,-25,-6.25,1,3,1,-9.5
6,Minnesota Vikings,10,16,20.4,343.6,233.8,109.8,1.4,22,383.2,284.6,98.6,0.8,-26,-5.2,1,4,0,3.5
7,Pittsburgh Steelers,23,13,19.66666667,341,240,101,1.333333333,21,372.8333333,276.6666667,96.16666667,1,-32,-5.333333333,1,5,1,-3.5
8,Detroit Lions,45,10,19.42857143,346.1428571,239.8571429,106.2857143,1.142857143,20.57142857,368,264.5714286,103.4285714,1.285714286,-22,-3.142857143,2,5,1,-3
9,Bye Week,,,20,345.375,226.625,118.75,1,20,356.5,255.875,100.625,1.375,13,1.625,3,5,,
10,Denver Broncos,29,13,20,345.375,226.625,118.75,1,20,356.5,255.875,100.625,1.375,13,1.625,3,5,0,3.5
11,San Diego Chargers,33,3,19.22222222,340.6666667,223.3333333,117.3333333,0.888888889,19.77777778,341.4444444,244.3333333,97.11111111,1.777777778,29,3.222222222,4,5,0,-3
12,Buffalo Bills,30,22,19.5,345.1,224.2,120.9,0.8,19.2,327.4,234.8,92.6,1.8,59,5.9,5,5,1,-4.5
13,Oakland Raiders,34,20,19.63636364,351.2727273,227,124.2727273,0.727272727,19.72727273,335.3636364,239.4545455,95.90909091,1.818181818,67,6.090909091,6,5,0,-3
14,San Diego Chargers,10,3,19.25,341.3333333,220,121.3333333,0.833333333,20.33333333,337.5,241.3333333,96.16666667,1.916666667,81,6.75,7,5,1,-12
15,Baltimore Ravens,34,14,19.15384615,340.3846154,216.8461538,123.5384615,0.923076923,19.92307692,333.0769231,240.9230769,92.15384615,1.846153846,88,6.769230769,8,5,0,-6.5
16,Cleveland Browns,17,13,18.85714286,335.8571429,213.0714286,122.7857143,0.857142857,19.85714286,335.4285714,243.2142857,92.21428571,1.928571429,108,7.714285714,9,5,1,-11.5
17,Oakland Raiders,23,17,18.66666667,330.6666667,207,123.6666667,0.866666667,19.93333333,337.6,236.0666667,101.5333333,1.866666667,112,7.466666667,10,5,1,-6.5
