Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Washington Redskins,17,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4
2,Jacksonville Jaguars,20,23,19,256,182,74,1,20,349,188,161,2,7,7,1,0,0,-6
3,Buffalo Bills,14,41,18,321,263,58,0.5,19.5,372.5,230.5,142,1,4,2,1,1,1,-1
4,New York Jets,14,27,19,344.3333333,271.6666667,72.66666667,1.333333333,20,391,246,145,0.666666667,-23,-7.666666667,1,2,1,2.5
5,Bye Week,,,18.5,314.75,245.5,69.25,1.5,20.75,399.5,239,160.5,0.75,-36,-9,1,3,,
6,Tennessee Titans,38,10,18.5,314.75,245.5,69.25,1.5,20.75,399.5,239,160.5,0.75,-36,-9,1,3,0,2.5
7,Houston Texans,44,26,20,338.6,247.2,91.4,1.6,21,379.4,238.4,141,1.4,-8,-1.6,2,3,1,-4.5
8,New England Patriots,7,36,20.16666667,366,248.5,117.5,1.5,21.5,369.8333333,240.5,129.3333333,1.333333333,10,1.666666667,3,3,0,8
9,Buffalo Bills,17,33,19.85714286,352.2857143,249.4285714,102.8571429,1.571428571,21.85714286,379.4285714,255,124.4285714,1.142857143,-19,-2.714285714,3,4,0,4
10,Philadelphia Eagles,20,19,21,357.875,254.375,103.5,1.5,21.375,384.5,242.375,142.125,1,-35,-4.375,3,5,0,6
11,Dallas Cowboys,14,24,20.33333333,350.2222222,247.2222222,103,1.333333333,22.22222222,390.2222222,254.6666667,135.5555556,1,-34,-3.777777778,4,5,1,2
12,New York Jets,20,38,19.2,336.2,236.5,99.7,1.3,22.2,389.8,251.2,138.6,1.1,-44,-4.4,4,6,0,4.5
13,Baltimore Ravens,15,13,19.27272727,335.9090909,244.1818182,91.72727273,1.363636364,22.36363636,391.7272727,253.2727273,138.4545455,1,-62,-5.636363636,4,7,1,-3.5
14,New York Giants,24,31,18.33333333,326.1666667,230.6666667,95.5,1.333333333,22.33333333,390.3333333,255.5833333,134.75,1.083333333,-60,-5,5,7,1,2
15,San Diego Chargers,14,30,18.15384615,329,231,98,1.307692308,22.53846154,393.3076923,261.8461538,131.4615385,1.076923077,-67,-5.153846154,5,8,0,1
16,Indianapolis Colts,12,18,17.78571429,322,227.8571429,94.14285714,1.285714286,22.78571429,396.7857143,264.7142857,132.0714286,1.142857143,-83,-5.928571429,5,9,1,-2.5
17,New England Patriots,20,10,18.06666667,324.6,231.2666667,93.33333333,1.266666667,22.6,388.2,258.2666667,129.9333333,1.066666667,-89,-5.933333333,5,10,1,10
