Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Philadelphia Eagles,26,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2,New York Giants,24,20,21,395,290,105,2,23,399,336,63,2,2,2,1,0,0,2
3,Dallas Cowboys,39,28,23,398.5,318,80.5,1,21,393.5,313.5,80,1.5,6,3,2,0,0,0
4,Houston Texans,48,21,24,411.6666667,305.3333333,106.3333333,0.666666667,21.66666667,378,282.3333333,95.66666667,1.333333333,17,5.666666667,3,0,1,-4.5
5,Washington Redskins,25,19,23.5,403.25,289.75,113.5,0.5,22.25,390.5,305.25,85.25,2,44,11,4,0,1,-7
6,New Orleans Saints,21,31,24.6,406.2,280.2,126,1,21.4,366.4,288,78.4,2,50,10,5,0,0,-3
7,Tennessee Titans,10,7,24.33333333,407.3333333,277.3333333,130,1.333333333,22,369.5,290.6666667,78.83333333,1.666666667,40,6.666666667,5,1,0,-6
8,Tampa Bay Buccaneers,20,23,23.85714286,403.1428571,273.5714286,129.5714286,1.428571429,21,353.2857143,274.7142857,78.57142857,1.714285714,43,6.142857143,6,1,1,-8
9,San Francisco 49ers,16,17,24.375,414.75,288.75,126,1.75,21,345.375,262,83.375,1.5,40,5,6,2,0,-8.5
10,Bye Week,,,23.55555556,402.2222222,288.3333333,113.8888889,1.555555556,20.66666667,342.3333333,253.4444444,88.88888889,1.555555556,39,4.333333333,6,3,,
11,Indianapolis Colts,21,24,23.55555556,402.2222222,288.3333333,113.8888889,1.555555556,20.66666667,342.3333333,253.4444444,88.88888889,1.555555556,39,4.333333333,6,3,1,-3.5
12,Minnesota Vikings,10,20,23.3,399.5,287,112.5,1.8,20.3,335.7,248.3,87.4,1.7,36,3.6,6,4,1,-2
13,Tampa Bay Buccaneers,19,23,23.18181818,392.8181818,280,112.8181818,1.909090909,20.63636364,338.3636364,241.5454545,96.81818182,1.636363636,26,2.363636364,6,5,0,0
14,Carolina Panthers,0,38,23,386.6666667,277.9166667,108.75,1.833333333,21,342.5,239.9166667,102.5833333,1.666666667,22,1.833333333,6,6,0,8.5
15,Jacksonville Jaguars,23,17,22.38461538,374.6153846,270.0769231,104.5384615,2,20.92307692,348.7692308,243.1538462,105.6153846,1.538461538,-16,-1.230769231,6,7,0,2
16,Carolina Panthers,20,13,22.35714286,371.2857143,268.2857143,103,1.928571429,20.92857143,350.2857143,246.1428571,104.1428571,1.5,-10,-0.714285714,7,7,1,7
17,New Orleans Saints,17,20,22.26666667,371.4,270.1333333,101.2666667,1.866666667,20.73333333,344.8,237.2666667,107.5333333,1.466666667,-3,-0.2,8,7,1,-6
