Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Dallas Cowboys,26,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,Atlanta Falcons,20,24,18,289,190,99,0,27,436,356,80,3,-1,-1,0,1,1,-2
3,Washington Redskins,32,21,18.5,338.5,240.5,98,0.5,26,419,351,68,1.5,-5,-2.5,0,2,1,-3
4,Buffalo Bills,24,10,18.66666667,346.6666667,253.3333333,93.33333333,0.333333333,24.66666667,410.3333333,335.6666667,74.66666667,2,6,2,1,2,0,6
5,San Francisco 49ers,30,27,18.75,335.75,242.75,93,0.5,22,386,316.25,69.75,2,20,5,2,2,1,-7.5
6,Philadelphia Eagles,7,27,21,373.6,282.4,91.2,0.6,22,384.8,304.2,80.6,1.6,23,4.6,3,2,0,3.5
7,Dallas Cowboys,27,20,20.5,352.5,263,89.5,1,22.33333333,392,298.5,93.5,2,3,0.5,3,3,1,-3
8,New Orleans Saints,49,52,19.42857143,343.4285714,247.8571429,95.57142857,0.857142857,23,401.7142857,288.2857143,113.4285714,2.285714286,10,1.428571429,4,3,0,3
9,Tampa Bay Buccaneers,32,18,20.5,352.5,258,94.5,0.875,24.5,427.5,315.375,112.125,2.25,7,0.875,4,4,0,-2
10,New England Patriots,26,27,20.88888889,349.6666667,253,96.66666667,1,23.88888889,422.5555556,307.7777778,114.7777778,2.333333333,21,2.333333333,5,4,1,7
11,Bye Week,,,20.9,356.9,261.9,95,1,23.7,420.9,309.9,111,2.3,20,2,5,5,,
12,Washington Redskins,14,20,20.9,356.9,261.9,95,1,23.7,420.9,309.9,111,2.3,20,2,5,5,0,-1.5
13,New York Jets,20,23,20.54545455,354.6363636,265.2727273,89.36363636,1.181818182,23.18181818,419.6363636,309.1818182,110.4545455,2.3,14,1.272727273,5,6,1,2.5
14,Miami Dolphins,31,24,20,354.6666667,266.5833333,88.08333333,1.166666667,23.58333333,423.25,314.5,108.75,2.181818182,11,0.916666667,5,7,0,-2
15,Carolina Panthers,35,38,20.38461538,360.3846154,272,88.38461538,1.153846154,23,418.6153846,308.3846154,110.2307692,2.083333333,18,1.384615385,6,7,1,5
16,Minnesota Vikings,17,49,20.42857143,363.6428571,270.0714286,93.57142857,1.214285714,23.35714286,423,308.4285714,114.5714286,2,15,1.071428571,6,8,0,7
17,Philadelphia Eagles,30,35,20.06666667,363.6,270.2,93.4,1.333333333,22.93333333,419.3333333,297.8666667,121.4666667,1.857142857,-17,-1.133333333,6,9,1,-3.5
