Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Cleveland Browns,31,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-3.5
2,Indianapolis Colts,20,7,18,333,179,154,1,15,321,217,104,5,21,21,1,0,0,6
3,Philadelphia Eagles,17,24,19,338.5,211,127.5,1,16,332,233.5,98.5,5,34,17,2,0,1,-3
4,Miami Dolphins,27,14,19,333.3333333,232.6666667,100.6666667,2,16.66666667,298.3333333,191.6666667,106.6666667,3.666666667,27,9,2,1,0,-2.5
5,Bye Week,,,20,356.25,229,127.25,1.75,16.75,280.25,185.5,94.75,3.25,40,10,3,1,,
6,Washington Redskins,34,20,20,356.25,229,127.25,1.75,16.75,280.25,185.5,94.75,3.25,40,10,3,1,1,-7.5
7,New England Patriots,23,30,20.4,379.8,233.8,146,2,16.2,269.2,186.6,82.6,3,54,10.8,4,1,0,7
8,Oakland Raiders,20,34,21.16666667,378.5,242,136.5,1.833333333,16.83333333,283.1666667,211.6666667,71.5,2.5,47,7.833333333,4,2,0,-3
9,Jacksonville Jaguars,28,23,21.28571429,376.7142857,249.1428571,127.5714286,1.714285714,17.42857143,307.1428571,229,78.14285714,2.142857143,33,4.714285714,4,3,1,-8
10,Buffalo Bills,17,22,20.375,365.875,250.625,115.25,1.5,17.625,323.25,242.625,80.625,2.375,38,4.75,5,3,1,-2.5
11,Houston Texans,17,24,19.77777778,360.5555556,243.8888889,116.6666667,1.777777778,17.11111111,318.4444444,230.3333333,88.11111111,2.111111111,33,3.666666667,5,4,0,-4
12,Miami Dolphins,38,20,19.4,351.2,239.2,112,1.8,17.3,323,231.4,91.6,2,26,2.6,5,5,1,-4.5
13,New York Giants,23,20,19.81818182,356.6363636,242.3636364,114.2727273,1.636363636,17.54545455,323.9090909,239.5454545,84.36363636,2,44,4,6,5,0,-2.5
14,Tennessee Titans,30,8,20.5,365.5,253.25,112.25,1.583333333,17.25,326.5,243,83.5,1.916666667,47,3.916666667,7,5,1,-8
15,Dallas Cowboys,19,16,20.76923077,371.1538462,253.4615385,117.6923077,1.461538462,17.07692308,323.8461538,244.9230769,78.92307692,1.846153846,69,5.307692308,8,5,0,-3.5
16,New England Patriots,26,20,20.71428571,371.2142857,256.7142857,114.5,1.428571429,16.92857143,322.7857143,240,82.78571429,2,72,5.142857143,9,5,1,2.5
17,Buffalo Bills,17,22,20.93333333,375,258.6,116.4,1.4,16.86666667,320.2,238.7333333,81.46666667,1.933333333,78,5.2,10,5,0,-3
