Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Chicago Bears,31,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.5
2,Seattle Seahawks,27,17,21,322,189,133,0,25,402,213,189,1,8,8,1,0,1,-3
3,Kansas City Chiefs,38,28,21,341.5,211.5,130,0.5,23,363,209,154,1.5,18,9,2,0,1,-5.5
4,San Francisco 49ers,17,3,22.66666667,377,249.3333333,127.6666667,0.333333333,23,350.6666667,223,127.6666667,1.333333333,28,9.333333333,3,0,0,-7.5
5,St. Louis Rams,24,10,21.5,373.25,237,136.25,0.25,19.25,312,197,115,1.25,42,10.5,4,0,1,-9
6,San Diego Chargers,27,20,20,363,236.8,126.2,0.8,18.8,316.4,186.2,130.2,1.8,56,11.2,5,0,1,-10.5
7,Bye Week,,,19.5,364.1666667,236.8333333,127.3333333,0.666666667,21,355,236.5,118.5,1.666666667,63,10.5,6,0,,
8,Denver Broncos,10,29,19.5,364.1666667,236.8333333,127.3333333,0.666666667,21,355,236.5,118.5,1.666666667,63,10.5,6,0,0,-2.5
9,Carolina Panthers,29,37,18.71428571,332.1428571,210.1428571,122,0.571428571,21.42857143,375.7142857,251.2857143,124.4285714,1.571428571,44,6.285714286,6,1,0,-2.5
10,Detroit Lions,16,18,19,340.875,225.25,115.625,0.75,21.25,382.125,257,125.125,1.5,36,4.5,6,2,1,-10.5
11,Minnesota Vikings,30,13,19.33333333,344.3333333,236.3333333,108,0.666666667,20.66666667,371.5555556,255.3333333,116.2222222,1.444444444,34,3.777777778,6,3,0,0
12,Chicago Bears,13,17,19.3,341.9,232.3,109.6,0.6,20.2,368.6,254.6,114,1.4,51,5.1,7,3,1,-8
13,Detroit Lions,27,23,19.63636364,344,228.2727273,115.7272727,0.727272727,19.90909091,361.4545455,248.6363636,112.8181818,1.272727273,47,4.272727273,7,4,0,-2.5
14,Dallas Cowboys,28,7,19.58333333,341.4166667,229.75,111.6666667,0.75,19.66666667,356.8333333,245,111.8333333,1.25,51,4.25,8,4,1,-6.5
15,Oakland Raiders,30,20,20.30769231,348.6153846,227.8461538,120.7692308,0.692307692,19,350.1538462,233.7692308,116.3846154,1.230769231,72,5.538461538,9,4,0,-4
16,Arizona Cardinals,8,38,20.14285714,344.6428571,225.1428571,119.5,0.785714286,19.07142857,351.7142857,235.0714286,116.6428571,1.285714286,82,5.857142857,10,4,0,6
17,Minnesota Vikings,13,20,19.86666667,333.5333333,215.2666667,118.2666667,1,19.06666667,353.6666667,236.7333333,116.9333333,1.333333333,52,3.466666667,10,5,1,-3
