Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Pittsburgh Steelers,28,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7
2,Buffalo Bills,40,32,26,361,281,80,0,23,464,330,134,1,7,7,1,0,0,1
3,Jacksonville Jaguars,51,17,27,434,366,68,1,23,406.5,259.5,147,2,15,7.5,2,0,1,-14
4,Bye Week,,,29.66666667,446.3333333,359.3333333,87,0.666666667,20.33333333,368.6666667,251.6666667,117,1.666666667,49,16.33333333,3,0,,
5,Dallas Cowboys,30,6,29.66666667,446.3333333,359.3333333,87,0.666666667,20.33333333,368.6666667,251.6666667,117,1.666666667,49,16.33333333,3,0,0,-8.5
6,Indianapolis Colts,34,27,27.25,423.75,331.25,92.5,0.5,19.75,348.75,235.5,113.25,1.75,73,18.25,4,0,0,-9
7,New York Jets,30,23,26.2,422.4,325.2,97.2,0.6,20.6,360.8,246.2,114.6,1.4,80,16,5,0,1,-7
8,Miami Dolphins,36,7,25.16666667,410.8333333,327.1666667,83.66666667,0.5,21.33333333,362.6666667,252.3333333,110.3333333,1.333333333,87,14.5,6,0,1,-8
9,Washington Redskins,27,10,25,414.5714286,329.2857143,85.28571429,0.428571429,20.85714286,349.4285714,252.7142857,96.71428571,1.428571429,116,16.57142857,7,0,1,-13.5
10,New York Giants,27,26,25.25,420.25,325.5,94.75,0.625,20.25,337,247.75,89.25,1.5,133,16.625,8,0,0,-7
11,Buffalo Bills,20,13,24.88888889,418.6666667,325.8888889,92.77777778,0.777777778,20.33333333,346.4444444,258.2222222,88.22222222,1.444444444,134,14.88888889,9,0,1,-7
12,Denver Broncos,24,30,24.2,412.4,320.4,92,0.8,19.9,343.7,254.9,88.8,1.4,141,14.1,10,0,0,-2.5
13,Philadelphia Eagles,28,35,23.45454545,402.2727273,315.0909091,87.18181818,0.818181818,20.18181818,351.8181818,254.8181818,97,1.363636364,135,12.27272727,10,1,1,-9.5
14,Houston Texans,27,6,23.75,404.3333333,315.8333333,88.5,0.916666667,19.75,343.1666667,243.5833333,99.58333333,1.333333333,128,10.66666667,10,2,0,-5
15,Tennessee Titans,33,16,23.30769231,397.3076923,306.6923077,90.61538462,0.923076923,18.76923077,331.3076923,232.6923077,98.61538462,1.307692308,149,11.46153846,11,2,1,-14.5
16,New York Jets,20,26,22.85714286,393.6428571,302.8571429,90.78571429,0.928571429,18.5,327.7857143,232,95.78571429,1.428571429,166,11.85714286,12,2,0,-2.5
17,Miami Dolphins,10,20,22.4,386.3333333,297.4,88.93333333,0.933333333,18.86666667,334.4666667,235.5333333,98.93333333,1.4,160,10.66666667,12,3,0,-10
