Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Kansas City Chiefs,20,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
2,Carolina Panthers,17,24,24,396,298,98,2,19,330,233,97,0,-7,-7,0,1,0,3
3,Tampa Bay Buccaneers,19,9,22.5,348,268.5,79.5,1.5,22,340,205.5,134.5,0.5,-14,-7,0,2,1,-6
4,Atlanta Falcons,21,48,25,369.6666667,254.6666667,115,1.333333333,19.33333333,332.6666667,224,108.6666667,0.666666667,-4,-1.333333333,1,2,0,4.5
5,Indianapolis Colts,20,27,24.75,384.25,284.5,99.75,2,20,344,228.75,115.25,0.5,-31,-7.75,1,3,1,-5
6,Jacksonville Jaguars,31,20,24.6,396.2,300,96.2,2,20.4,339.8,225.6,114.2,0.4,-38,-7.6,1,4,0,3
7,Miami Dolphins,26,44,24.5,393.8333333,297.8333333,96,1.666666667,21.33333333,348.8333333,239.8333333,109,0.833333333,-27,-4.5,2,4,0,4.5
8,Tennessee Titans,20,6,24.42857143,383.5714286,291.1428571,92.42857143,1.571428571,21.28571429,370.8571429,242,128.8571429,0.857142857,-45,-6.428571429,2,5,1,-3.5
9,Bye Week,,,23.125,369.375,281.5,87.875,1.375,20.5,350.875,227.375,123.5,1.125,-31,-3.875,3,5,,
10,Cincinnati Bengals,10,6,23.125,369.375,281.5,87.875,1.375,20.5,350.875,227.375,123.5,1.125,-31,-3.875,3,5,0,10
11,New York Jets,24,17,22.33333333,356.7777778,269.5555556,87.22222222,1.333333333,20,340.3333333,222.3333333,118,1.222222222,-27,-3,4,5,1,4
12,New Orleans Saints,24,6,22,357.5,266.7,90.8,1.3,19.6,333,219.8,113.2,1.3,-20,-2,5,5,1,-3.5
13,Buffalo Bills,21,30,22.09090909,357.9090909,260.1818182,97.72727273,1.272727273,19.09090909,327.0909091,219.6363636,107.4545455,1.272727273,-2,-0.181818182,6,5,0,3
14,New England Patriots,6,27,22,361.5,261.4166667,100.0833333,1.25,18.75,332.3333333,218.25,114.0833333,1.166666667,-11,-0.916666667,6,6,1,5
15,Indianapolis Colts,16,10,20.84615385,348.2307692,249.1538462,99.07692308,1.230769231,18.69230769,330.8461538,216.6153846,114.2307692,1.153846154,-32,-2.461538462,6,7,0,-2
16,Tennessee Titans,34,6,20.78571429,345.1428571,242.0714286,103.0714286,1.285714286,18.35714286,320.7857143,211.1428571,109.6428571,1.214285714,-26,-1.857142857,7,7,0,-3.5
17,Jacksonville Jaguars,30,6,20.66666667,344.1333333,239.4,104.7333333,1.266666667,18,316.5333333,212.2,104.3333333,1.4,2,0.133333333,8,7,1,-6
