Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,New York Jets,10,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5
2,Tennessee Titans,28,14,15,321,217,104,5,18,333,179,154,1,-21,-21,0,1,1,1
3,Oakland Raiders,20,27,14,297.5,187.5,110,2.5,19.5,359,199,160,2,-7,-3.5,1,1,1,-3.5
4,San Diego Chargers,27,30,16.33333333,316.6666667,230.3333333,86.33333333,2.333333333,19.33333333,395.6666667,237.3333333,158.3333333,1.666666667,-14,-4.666666667,1,2,0,5
5,Baltimore Ravens,33,30,17.25,345.5,255.75,89.75,2,20.25,406.25,264.75,141.5,1.25,-17,-4.25,1,3,0,6.5
6,Denver Broncos,23,26,18.8,377.4,289,88.4,1.6,20.6,400.4,251,149.4,1,-14,-2.8,2,3,1,3.5
7,St. Louis Rams,6,24,19,364.1666667,272.3333333,91.83333333,1.833333333,20.66666667,407.3333333,257.5,149.8333333,1.333333333,-17,-2.833333333,2,4,0,6
8,Arizona Cardinals,20,34,19,364.1428571,273.7142857,90.42857143,2.142857143,20,393.1428571,242.1428571,151,1.285714286,-35,-5,2,5,1,7
9,Cincinnati Bengals,10,31,18.625,350.375,266.375,84,2.125,20.625,405.375,258.375,147,1.625,-49,-6.125,2,6,0,13
10,Pittsburgh Steelers,9,30,18,335.1111111,252.7777778,82.33333333,1.888888889,20.88888889,401.5555556,254,147.5555556,1.444444444,-70,-7.777777778,2,7,0,7
11,Bye Week,,,18.2,335.8,260.2,75.6,2,21,407.3,268.5,138.8,1.5,-91,-9.1,2,8,,
12,Baltimore Ravens,27,33,18.2,335.8,260.2,75.6,2,21,407.3,268.5,138.8,1.5,-91,-9.1,2,8,1,-6
13,Cincinnati Bengals,3,37,18.45454545,336,261.5454545,74.45454545,1.818181818,20.54545455,400.8181818,265.1818182,135.6363636,1.545454545,-97,-8.818181818,2,9,1,7.5
14,San Francisco 49ers,24,10,18.41666667,330.75,256.8333333,73.91666667,1.833333333,20.5,398.8333333,262.5,136.3333333,1.416666667,-131,-10.91666667,2,10,1,-2.5
15,Seattle Seahawks,13,30,19.15384615,342.3076923,256.3846154,85.92307692,1.846153846,20.07692308,385.1538462,253.8461538,131.3076923,1.307692308,-117,-9,3,10,0,14.5
16,Kansas City Chiefs,13,17,18.85714286,334.2857143,247.7857143,86.5,1.785714286,20.64285714,387.8571429,252.9285714,134.9285714,1.214285714,-134,-9.571428571,3,11,0,11.5
17,Pittsburgh Steelers,12,28,19,336.5333333,240.3333333,96.2,1.733333333,20.33333333,379.2,244.2,135,1.2,-138,-9.2,3,12,1,13
