Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Buffalo Bills,14,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
2,New York Jets,7,20,23,304,240,64,3,15,342,195,147,0,-13,-13,0,1,1,-6
3,Tennessee Titans,35,33,20,323.5,245,78.5,4,17.5,343,219,124,0.5,-26,-13,0,2,0,-3.5
4,Jacksonville Jaguars,16,13,20,341.6666667,245,96.66666667,3.333333333,21,373,261,112,1,-24,-8,1,2,1,-4
5,Houston Texans,27,20,20.5,337.75,250.25,87.5,3,21,387.5,268,119.5,0.75,-21,-5.25,2,2,0,5
6,New England Patriots,27,34,20.8,334.8,242.8,92,2.4,21.6,398.8,286.8,112,1,-14,-2.8,3,2,1,9
7,New Orleans Saints,21,27,21.33333333,347.1666667,250.5,96.66666667,2,21.66666667,401.8333333,289.1666667,112.6666667,1,-21,-3.5,3,3,1,-5
8,Carolina Panthers,26,29,20.42857143,351.2857143,257.7142857,93.57142857,2.142857143,21.71428571,408.5714286,285.8571429,122.7142857,1,-27,-3.857142857,3,4,0,5.5
9,Denver Broncos,27,24,20.25,352.25,253.375,98.875,2.375,21.125,404.875,280,124.875,1.25,-30,-3.75,3,5,1,3.5
10,Bye Week,,,21,353.6666667,252.4444444,101.2222222,2.111111111,20.55555556,394.2222222,279.3333333,114.8888889,1.333333333,-27,-3,4,5,,
11,Atlanta Falcons,24,21,21,353.6666667,252.4444444,101.2222222,2.111111111,20.55555556,394.2222222,279.3333333,114.8888889,1.333333333,-27,-3,4,5,0,3.5
12,Tampa Bay Buccaneers,25,12,20.6,345.9,247.4,98.5,2.2,20.6,392.3,278.9,113.4,1.6,-24,-2.4,5,5,1,-3
13,Pittsburgh Steelers,10,45,20.81818182,345,253,92,2,20.63636364,387.9090909,272.8181818,115.0909091,1.545454545,-11,-1,6,5,0,9.5
14,Jacksonville Jaguars,16,51,20,336.25,247.4166667,88.83333333,2.083333333,20.91666667,399.0833333,280.4166667,118.6666667,1.583333333,-46,-3.833333333,6,6,0,1
15,Houston Texans,10,16,19.76923077,335.1538462,245.8461538,89.30769231,2.076923077,21.15384615,397.6153846,276.2307692,121.3846154,1.615384615,-81,-6.230769231,6,7,1,-2
16,Miami Dolphins,18,12,19.35714286,324.7857143,238.2857143,86.5,2.071428571,21.07142857,391,267.2142857,123.7857143,1.642857143,-87,-6.214285714,6,8,0,2.5
17,Tennessee Titans,30,24,19.4,321,233.6,87.4,1.933333333,21.13333333,389,268,121,1.6,-81,-5.4,7,8,1,-4
