Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,New York Giants,27,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-7
2,Philadelphia Eagles,20,10,27,436,356,80,3,18,288,189,99,0,1,1,1,0,0,6.5
3,Atlanta Falcons,28,39,24,397.5,303,94.5,2.5,17.5,257,204,53,1.5,11,5.5,2,0,1,0
4,New Orleans Saints,20,26,23.66666667,380.6666667,275.3333333,105.3333333,2,20.33333333,317.3333333,229.3333333,88,1,0,0,2,1,0,3
5,New England Patriots,6,30,23,369.25,261.5,107.75,1.5,22,347.5,255.75,91.75,0.75,-6,-1.5,2,2,1,8.5
6,Bye Week,,,22,348.4,241.8,106.6,1.6,21.6,349.2,254,95.2,0.6,-30,-6,2,3,,
7,New York Giants,20,27,22,348.4,241.8,106.6,1.6,21.6,349.2,254,95.2,0.6,-30,-6,2,3,0,3
8,Seattle Seahawks,12,13,22.83333333,367,239.3333333,127.6666667,2,20.16666667,339.1666667,237.8333333,101.3333333,0.5,-37,-6.166666667,2,4,1,5
9,Philadelphia Eagles,27,33,21.57142857,346,218.1428571,127.8571429,1.714285714,20,336.8571429,233.8571429,103,0.571428571,-38,-5.428571429,2,5,1,3
10,Tampa Bay Buccaneers,6,10,22,354.125,225.5,128.625,1.625,20.625,352.125,240.5,111.625,0.5,-44,-5.5,2,6,0,-1
11,Miami Dolphins,24,14,20.88888889,338.7777778,219.7777778,119,1.555555556,20.88888889,349.6666667,241.1111111,108.5555556,0.666666667,-48,-5.333333333,2,7,0,-2
12,Carolina Panthers,14,33,21,343.5,219.8,123.7,1.6,19.7,335.7,231,104.7,0.7,-38,-3.8,3,7,1,1
13,Washington Redskins,19,16,20.36363636,331.3636364,216.0909091,115.2727273,1.727272727,19.54545455,331.9090909,225,106.9090909,0.636363636,-57,-5.181818182,3,8,0,2
14,Green Bay Packers,7,28,20,330.25,216.5,113.75,1.833333333,19.16666667,326.4166667,222.3333333,104.0833333,0.666666667,-54,-4.5,4,8,0,6.5
15,New York Jets,16,19,19.30769231,325.6153846,207.4615385,118.1538462,1.769230769,19.92307692,334.7692308,221,113.7692308,0.615384615,-75,-5.769230769,4,9,1,3.5
16,Buffalo Bills,6,16,19,324.4285714,205.2142857,119.2142857,1.928571429,19.92857143,337.4285714,226.5714286,110.8571429,0.642857143,-78,-5.571428571,4,10,0,6.5
17,Washington Redskins,23,34,18.66666667,323.2666667,203.9333333,119.3333333,1.933333333,19.86666667,342.1333333,222.9333333,119.2,0.733333333,-88,-5.866666667,4,11,1,-3
