Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Jacksonville Jaguars,20,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3
2,Houston Texans,24,17,17,263,158,105,1,18,265,169,96,3,11,11,1,0,1,-3
3,New Orleans Saints,27,22,21,306.5,168,138.5,1,19.5,282.5,204,78.5,2,18,9,2,0,1,-9.5
4,Tampa Bay Buccaneers,37,23,22,348,216,132,0.666666667,22,315,239.3333333,75.66666667,2,23,7.666666667,3,0,0,-3
5,Bye Week,,,20.75,322,189.75,132.25,0.75,22.75,339,247,92,2.75,37,9.25,4,0,,
6,Seattle Seahawks,27,23,20.75,322,189.75,132.25,0.75,22.75,339,247,92,2.75,37,9.25,4,0,0,7
7,Philadelphia Eagles,27,16,21.6,334.2,201.4,132.8,1,21,338,241.4,96.6,2.2,41,8.2,5,0,1,-2.5
8,Indianapolis Colts,29,26,21.5,344.1666667,199.5,144.6666667,1.333333333,20.83333333,339.8333333,229.8333333,110,2,52,8.666666667,6,0,1,-5.5
9,Green Bay Packers,37,29,20.85714286,349.1428571,205.1428571,144,1.571428571,20.57142857,342.5714286,228.8571429,113.7142857,2.285714286,55,7.857142857,7,0,1,2.5
10,Tennessee Titans,27,10,20.75,358.875,216.625,142.25,1.5,20.625,350,241.625,108.375,2.25,63,7.875,8,0,0,-3.5
11,Washington Redskins,44,16,21.11111111,352.6666667,213,139.6666667,1.333333333,19.55555556,338,234.5555556,103.4444444,2.222222222,80,8.888888889,9,0,1,-7
12,Dallas Cowboys,33,14,21.7,354.2,214.3,139.9,1.2,18.5,322.8,228.3,94.5,2.5,108,10.8,10,0,0,-1
13,New Orleans Saints,41,38,21.36363636,348.7272727,209.8181818,138.9090909,1.090909091,18.09090909,312.5454545,223.8181818,88.72727273,2.545454545,127,11.54545455,11,0,0,-6
14,Atlanta Falcons,38,0,22.33333333,361.0833333,219.1666667,141.9166667,1.25,18.33333333,314.3333333,227.1666667,87.16666667,2.416666667,130,10.83333333,12,0,1,-8.5
15,New York Giants,38,35,22.15384615,365.9230769,224,141.9230769,1.153846154,18.07692308,307.8461538,223.2307692,84.61538462,2.538461538,168,12.92307692,13,0,0,-5
16,Atlanta Falcons,13,20,22.57142857,374.0714286,230.0714286,144,1.142857143,18.28571429,314.8571429,224.7857143,90.07142857,2.5,171,12.21428571,14,0,0,-7
17,Tampa Bay Buccaneers,38,10,22.26666667,367,222.2666667,144.7333333,1.133333333,18.46666667,318.7333333,229.5333333,89.2,2.4,164,10.93333333,14,1,1,-10
