Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,Cincinnati Bengals,13,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
2,Baltimore Ravens,37,33,16,246,183,63,2,22,396,269,127,0,-20,-20,0,1,1,6
3,Cleveland Browns,27,20,21.5,347,267,80,1.5,25.5,444.5,326.5,118,1,-16,-8,1,1,0,3.5
4,Chicago Bears,20,22,20.66666667,387.6666667,282.6666667,105,1.333333333,24,414.6666667,323,91.66666667,1.333333333,-9,-3,2,1,0,-3
5,Denver Broncos,10,16,19.5,351.5,255.25,96.25,1.5,23.75,403.75,310.5,93.25,1.75,-11,-2.75,2,2,1,5.5
6,Bye Week,,,19.6,338.8,248.8,90,1.8,22,382.4,299.2,83.2,1.8,-17,-3.4,2,3,,
7,San Diego Chargers,37,29,19.6,338.8,248.8,90,1.8,22,382.4,299.2,83.2,1.8,-17,-3.4,2,3,0,3.5
8,New York Jets,34,20,19.5,351,254.3333333,96.66666667,1.5,23,388.1666667,303.8333333,84.33333333,1.833333333,-9,-1.5,3,3,1,3
9,Pittsburgh Steelers,35,38,19.71428571,365.2857143,265.5714286,99.71428571,1.285714286,22.85714286,385,302.1428571,82.85714286,1.714285714,5,0.714285714,4,3,0,6
10,Minnesota Vikings,14,30,20.25,374.625,270,104.625,1.625,23.375,411.5,314.625,96.875,1.75,2,0.25,4,4,1,-3
11,Detroit Lions,13,18,20.22222222,374.2222222,271.8888889,102.3333333,1.666666667,23.11111111,408.5555556,293.2222222,115.3333333,1.555555556,-14,-1.555555556,4,5,0,-1.5
12,Tennessee Titans,24,21,19.5,358.4,261.1,97.3,1.5,23,405.2,290.5,114.7,1.4,-19,-1.9,4,6,0,-1
13,Kansas City Chiefs,20,34,19.72727273,362.8181818,266.7272727,96.09090909,1.545454545,22.63636364,391,282.7272727,108.2727273,1.454545455,-16,-1.454545455,5,6,1,3
14,Denver Broncos,15,12,20.33333333,362.6666667,266.3333333,96.33333333,1.666666667,22,377.75,271.0833333,106.6666667,1.5,-30,-2.5,5,7,0,6
15,Green Bay Packers,20,30,19.38461538,344.4615385,253.4615385,91,1.538461538,21.84615385,372.5384615,271.4615385,101.0769231,1.538461538,-27,-2.076923077,6,7,1,4
16,San Diego Chargers,23,20,19.42857143,346.4285714,253.3571429,93.07142857,1.571428571,21.57142857,366.8571429,265.6428571,101.2142857,1.571428571,-37,-2.642857143,6,8,1,-4
17,Kansas City Chiefs,17,23,19.06666667,342.0666667,248.1333333,93.93333333,1.533333333,21.4,365.2666667,266,99.26666667,1.533333333,-34,-2.266666667,7,8,0,6.5
