Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,St. Louis Rams,31,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.5
2,Green Bay Packers,17,27,21,343,219,124,1,19,352,276,76,3,-3,-3,0,1,0,3
3,Chicago Bears,26,0,21,333.5,212,121.5,1.5,20,356.5,255,101.5,2,-13,-6.5,0,2,1,-16.5
4,Detroit Lions,13,10,19.66666667,346,212,134,1,15.66666667,286.3333333,186,100.3333333,1.333333333,13,4.333333333,1,2,1,-10
5,Cincinnati Bengals,24,27,19.25,345.75,217.75,128,1.5,14.75,278.75,190.25,88.5,1.25,16,4,2,2,0,3
6,Carolina Panthers,23,27,18.6,356,213.6,142.4,1.4,17.2,306.8,214.2,92.6,1.4,13,2.6,2,3,1,-7
7,San Francisco 49ers,20,3,17.83333333,352.3333333,214.5,137.8333333,1.166666667,18.5,319.5,219.8333333,99.66666667,1.5,9,1.5,2,4,0,-6.5
8,Dallas Cowboys,13,12,18.28571429,357.4285714,214.1428571,143.2857143,1.285714286,17,294.1428571,200,94.14285714,1.285714286,26,3.714285714,3,4,0,-5
9,Bye Week,,,18.375,353.125,213.625,139.5,1.25,16.625,284.875,186.375,98.5,1.125,27,3.375,4,4,,
10,Arizona Cardinals,32,39,18.375,353.125,213.625,139.5,1.25,16.625,284.875,186.375,98.5,1.125,27,3.375,4,4,1,-3
11,San Francisco 49ers,29,13,18.33333333,352,215.2222222,136.7777778,1.222222222,18.11111111,303.3333333,202.7777778,100.5555556,1.333333333,20,2.222222222,4,5,1,-14
12,Pittsburgh Steelers,39,30,19.3,367.6,219,148.6,1.1,17.7,303.6,207.2,96.4,1.2,36,3.6,5,5,1,-3
13,Minnesota Vikings,38,7,19.45454545,373.8181818,229.6363636,144.1818182,1,18.45454545,324.9090909,232,92.90909091,1.454545455,45,4.090909091,6,5,0,-2.5
14,Baltimore Ravens,35,6,19.91666667,378.75,232.1666667,146.5833333,1,17.66666667,308.25,220.5,87.75,1.416666667,76,6.333333333,7,5,0,-10.5
15,Cleveland Browns,30,13,20.53846154,382.2307692,237.4615385,144.7692308,1,17.53846154,307.7692308,224.6153846,83.15384615,1.461538462,105,8.076923077,8,5,1,-14.5
16,St. Louis Rams,17,23,21.07142857,385.1428571,237.7142857,147.4285714,0.928571429,17.35714286,302.2142857,218.2857143,83.92857143,1.428571429,122,8.714285714,9,5,1,-11
17,Arizona Cardinals,36,6,20.86666667,380.2666667,238.7333333,141.5333333,1.066666667,17.13333333,295.7333333,210.6,85.13333333,1.333333333,116,7.733333333,9,6,0,6
