Week,Opp,Tm,Opp,1stD Offense,TotYd Offense,PassY Offense,RushY Offense,TO Offense,1stD Defense,TotYd Defense,PassY Defense,RushY Defense,TO Defense,PD,PD AVERAGE,Wins,Losses,Home/Away,Line
1,New England Patriots,21,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
2,San Francisco 49ers,43,18,23,464,330,134,1,26,361,281,80,0,-7,-7,0,1,1,-6
3,St. Louis Rams,12,6,22,458.5,349.5,109,0.5,26.5,385,289.5,95.5,0.5,18,9,1,1,0,1
4,Baltimore Ravens,20,23,20.33333333,392,298.6666667,93.33333333,0.666666667,21.66666667,342.6666667,255.3333333,87.33333333,0.666666667,24,8,2,1,1,3
5,San Diego Chargers,24,20,19.5,359.75,248,111.75,0.5,21.5,346,232.75,113.25,1,21,5.25,2,2,0,4
6,Arizona Cardinals,25,13,18.4,357.6,237.2,120.4,0.6,22,358,257,101,1.2,25,5,3,2,1,5.5
7,Kansas City Chiefs,13,23,17.66666667,349.6666667,225.8333333,123.8333333,0.5,21.83333333,376.5,283.1666667,93.33333333,1.5,37,6.166666667,4,2,0,3.5
8,Cincinnati Bengals,10,16,17.71428571,348.1428571,221,127.1428571,0.857142857,21.28571429,376.5714286,276.8571429,99.71428571,1.285714286,27,3.857142857,4,3,1,0
9,Oakland Raiders,38,35,18.125,349.125,223.375,125.75,1.125,20.625,366.5,269.5,97,1.375,21,2.625,4,4,1,-6
10,Cleveland Browns,30,9,19.11111111,376.6666667,243.2222222,133.4444444,1.222222222,21,374.6666667,273,101.6666667,1.666666667,24,2.666666667,5,4,1,-7
11,Bye Week,,,19.4,384.9,258.8,126.1,1.3,20.9,371.4,278.4,93,1.8,45,4.5,6,4,,
12,Seattle Seahawks,30,39,19.4,384.9,258.8,126.1,1.3,20.9,371.4,278.4,93,1.8,45,4.5,6,4,0,3
13,Indianapolis Colts,45,10,20,398.8181818,278.9090909,119.9090909,1.545454545,20.90909091,377.2727273,283.6363636,93.63636364,1.636363636,36,3.272727273,6,5,1,-9.5
14,Cincinnati Bengals,33,20,20.33333333,409.0833333,286,123.0833333,1.583333333,20.08333333,365.8333333,275.5,90.33333333,1.75,71,5.916666667,7,5,0,1
15,Denver Broncos,34,27,20.46153846,404.8461538,284.7692308,120.0769231,1.538461538,20.23076923,367.3076923,279,88.30769231,1.846153846,84,6.461538462,8,5,1,-7.5
16,Baltimore Ravens,17,20,21,402.8571429,289.7142857,113.1428571,1.571428571,20.21428571,368.5714286,279.1428571,89.42857143,1.857142857,91,6.5,9,5,0,-11.5
17,Cleveland Browns,28,12,21,396.5333333,283.6,112.9333333,1.666666667,20.33333333,369.7333333,278.2,91.53333333,1.733333333,88,5.866666667,9,6,0,-13
